multiplet_name,peak_in_multiplet,position_ppm,height,width_hz,area,position_hz,gaussian_fraction
M5,8,4.2914,0.1,0.77,1.62,381.3599999999997,0.7142857142857143
M5,7,4.2991,0.12,0.74,1.87,385.97999999999956,0.8333333333333334
M5,6,4.3097,0.09,0.75,1.37,392.3399999999997,0.78125
M5,5,4.3176,0.1,0.68,1.41,397.0799999999995,0.7142857142857143
M5,4,4.3599,1.08,0.99,19.31,417.0799999999995,0.4608294930875576
M5,3,4.3854,0.47,1.13,9.82,432.3799999999992,0.4926108374384236
M5,2,4.4458,0.09,6.25,11.83,452.3799999999992,0.7575757575757576
M5,1,4.4646,0.06,1.08,1.26,463.6599999999994,0.4545454545454545
M4,1,5.5991,11.52,1.41,285.98,483.6599999999994,0.4273504273504274
M3,29,7.2926,0.45,0.59,5.14,503.6599999999994,0.6097560975609756
M3,28,7.2948,1.05,0.83,17.74,504.9799999999991,0.7352941176470589
M3,27,7.2973,0.48,0.72,7.03,506.4799999999991,0.7352941176470589
M3,26,7.3007,0.48,0.89,7.68,508.5199999999991,0.4504504504504505
M3,25,7.304,0.52,0.72,7.2,510.49999999999955,0.5681818181818182
M3,24,7.3071,3.23,1.08,72.41,512.3599999999992,0.8403361344537815
M3,23,7.3124,1.97,1.1,44.59,515.5399999999995,0.7575757575757576
M3,22,7.3172,0.73,0.5,6.55,518.4199999999987,0.4608294930875576
M3,21,7.32,4.98,1.67,169.69,520.099999999999,0.7462686567164178
M3,20,7.326,1.94,1.81,74.02,523.6999999999985,0.9090909090909092
M3,19,7.3321,6.9,1.13,153.62,527.3599999999992,0.628930817610063
M3,18,7.3352,1.68,0.83,27.46,529.2199999999989,0.6172839506172839
M3,17,7.3492,5.39,1.23,137.89,537.6199999999994,0.819672131147541
M3,16,7.354,0.45,0.56,4.41,540.4999999999986,0.4184100418410042
M3,15,7.3586,1.14,1.12,24.42,543.2599999999989,0.5586592178770949
M3,14,7.3614,4.26,1.67,129.71,544.9399999999991,0.4716981132075471
M3,13,7.3705,1.59,1.16,37.02,550.3999999999992,0.6896551724137931
M3,12,7.3747,2.11,1.41,62.09,552.9199999999987,0.8403361344537815
M3,11,7.382,0.06,0.35,0.34,557.2999999999988,0.3333333333333333
M3,10,7.3863,0.55,1.05,11.48,559.8799999999987,0.6535947712418301
M3,9,7.3979,3.93,1.09,90.32,566.8399999999988,0.8849557522123894
M3,8,7.401,0.28,0.28,1.58,568.6999999999985,0.591715976331361
M3,7,7.4108,6.33,1.17,146.7,574.5799999999995,0.6369426751592357
M3,6,7.4206,0.8,0.89,14.01,580.4599999999996,0.6134969325153374
M3,5,7.4237,3.0,1.03,61.78,582.3199999999993,0.6578947368421053
M3,4,7.4343,0.95,1.42,25.78,588.6799999999989,0.5464480874316939
M3,3,7.4375,0.78,1.17,19.45,590.599999999999,0.9523809523809524
M3,2,7.4416,0.06,0.36,0.36,593.059999999999,0.3333333333333333
M3,1,7.4479,0.94,1.94,33.26,596.8399999999988,0.4694835680751174
M2,5,7.789,0.16,0.33,0.86,616.8399999999988,0.3333333333333333
M2,4,7.7916,4.85,1.7,143.92,618.3999999999992,0.4219409282700421
M2,3,7.8028,2.93,1.12,69.12,625.1199999999994,0.8928571428571428
M2,2,7.8052,3.33,0.98,60.45,626.559999999999,0.5076142131979695
M2,1,7.8076,0.92,0.5,7.81,627.9999999999995,0.4048582995951417
M1,2,8.5706,1.29,1.05,25.57,647.9999999999995,0.5319148936170213
M1,1,8.5735,0.89,0.46,7.06,649.7399999999989,0.4184100418410042
