4.00007	0.0183439
4.00031	0.0173284
4.00056	0.0265817
4.0008	0.0327307
4.00105	0.028904
4.00129	0.0253437
4.00154	0.031518
4.00178	0.0389165
4.00203	0.0347882
4.00227	0.0249367
4.00252	0.025497
4.00276	0.0353266
4.003	0.0364148
4.00325	0.02405
4.00349	0.0163424
4.00374	0.025588
4.00398	0.0384346
4.00423	0.0373168
4.00447	0.0268991
4.00472	0.0234841
4.00496	0.0287007
4.00521	0.0309648
4.00545	0.0271816
4.0057	0.0262087
4.00594	0.0322655
4.00618	0.0388063
4.00643	0.039508
4.00667	0.0350537
4.00692	0.0289492
4.00716	0.0248096
4.00741	0.0264131
4.00765	0.0328774
4.0079	0.0363643
4.00814	0.0320865
4.00839	0.0266547
4.00863	0.0282957
4.00888	0.0339319
4.00912	0.0359465
4.00936	0.0362038
4.00961	0.0409888
4.00985	0.046595
4.0101	0.0443533
4.01034	0.0374446
4.01059	0.0374039
4.01083	0.0445754
4.01108	0.0477976
4.01132	0.0444283
4.01157	0.0439568
4.01181	0.0484927
4.01205	0.0471245
4.0123	0.036423
4.01254	0.029905
4.01279	0.0369049
4.01303	0.0466444
4.01328	0.0461291
4.01352	0.0416614
4.01377	0.0469669
4.01401	0.0583929
4.01426	0.0594993
4.0145	0.0473362
4.01475	0.0373819
4.01499	0.0404685
4.01523	0.048878
4.01548	0.0503902
4.01572	0.0450861
4.01597	0.0407236
4.01621	0.0388865
4.01646	0.0350519
4.0167	0.0299844
4.01695	0.0321674
4.01719	0.0459463
4.01744	0.0621157
4.01768	0.0656722
4.01793	0.0532269
4.01817	0.0388271
4.01841	0.0392197
4.01866	0.0546277
4.0189	0.0681614
4.01915	0.0654083
4.01939	0.0508023
4.01964	0.0411775
4.01988	0.0453962
4.02013	0.0556796
4.02037	0.0599941
4.02062	0.0574772
4.02086	0.0566035
4.02111	0.0607703
4.02135	0.0630528
4.02159	0.0571619
4.02184	0.0472957
4.02208	0.0423315
4.02233	0.0443855
4.02257	0.048759
4.02282	0.0520016
4.02306	0.0534847
4.02331	0.051471
4.02355	0.0455312
4.0238	0.0416659
4.02404	0.0462144
4.02428	0.0545366
4.02453	0.0552117
4.02477	0.0469339
4.02502	0.041263
4.02526	0.0457286
4.02551	0.0544238
4.02575	0.0593976
4.026	0.0608187
4.02624	0.0605008
4.02649	0.0562548
4.02673	0.0495505
4.02698	0.0480994
4.02722	0.0529045
4.02746	0.0537298
4.02771	0.0463508
4.02795	0.0421312
4.0282	0.0490364
4.02844	0.0558999
4.02869	0.0506087
4.02893	0.0421967
4.02918	0.0461555
4.02942	0.056995
4.02967	0.0569452
4.02991	0.046253
4.03016	0.0416263
4.0304	0.0464881
4.03064	0.0467106
4.03089	0.0382051
4.03113	0.0352649
4.03138	0.0449604
4.03162	0.0543536
4.03187	0.0522916
4.03211	0.045558
4.03236	0.0432577
4.0326	0.0418413
4.03285	0.0370236
4.03309	0.0356797
4.03334	0.043155
4.03358	0.0509469
4.03382	0.0496568
4.03407	0.0440903
4.03431	0.0435641
4.03456	0.0461534
4.0348	0.0442258
4.03505	0.0380876
4.03529	0.0334974
4.03554	0.0323395
4.03578	0.0348114
4.03603	0.0431819
4.03627	0.0543462
4.03651	0.0572645
4.03676	0.047864
4.037	0.0380287
4.03725	0.0391862
4.03749	0.0458565
4.03774	0.0473856
4.03798	0.0465139
4.03823	0.0512724
4.03847	0.0562044
4.03872	0.0494571
4.03896	0.0345638
4.03921	0.0270371
4.03945	0.0302211
4.03969	0.0325145
4.03994	0.0302027
4.04018	0.0344982
4.04043	0.0497573
4.04067	0.0615627
4.04092	0.0570782
4.04116	0.0445283
4.04141	0.0397774
4.04165	0.0425063
4.0419	0.0401809
