4.000070000000000014e+00 2.033765427768230438e-03
4.000309999999999810e+00 3.030425041746134113e-03
4.000560000000000116e+00 4.068612139641936132e-03
4.000799999999999912e+00 4.473840769457096758e-03
4.001050000000000217e+00 4.866924263334332541e-03
4.001290000000000013e+00 4.993327246151501621e-03
4.001540000000000319e+00 5.099142915732789161e-03
4.001780000000000115e+00 5.651317411487743504e-03
4.002030000000000420e+00 6.299752846192704925e-03
4.002270000000000216e+00 6.329099299570888418e-03
4.002519999999999634e+00 6.224039353255268574e-03
4.002760000000000318e+00 6.266974430447697260e-03
4.003000000000000114e+00 6.351655753799163168e-03
4.003250000000000419e+00 6.587945217170503368e-03
4.003490000000000215e+00 6.875475515244172664e-03
4.003739999999999633e+00 7.216454806776685139e-03
4.003980000000000317e+00 7.564523155031613495e-03
4.004229999999999734e+00 8.117514195290569459e-03
4.004470000000000418e+00 8.763113550052879439e-03
4.004719999999999835e+00 1.039696299951156644e-02
4.004959999999999631e+00 1.265827684434991593e-02
4.005209999999999937e+00 1.482177591366274153e-02
4.005449999999999733e+00 1.673393305716524421e-02
4.005700000000000038e+00 1.745352697389633556e-02
4.005939999999999834e+00 1.684640403599536873e-02
4.006179999999999630e+00 1.664825101879516961e-02
4.006429999999999936e+00 1.703418268800920704e-02
4.006669999999999732e+00 1.778954009229279098e-02
4.006920000000000037e+00 1.924930826220764071e-02
4.007159999999999833e+00 2.055971948398842286e-02
4.007410000000000139e+00 2.173088923595289934e-02
4.007649999999999935e+00 2.273148993630388914e-02
4.007900000000000240e+00 2.344779843261375271e-02
4.008140000000000036e+00 2.389377361675691300e-02
4.008390000000000342e+00 2.355378415709680553e-02
4.008630000000000138e+00 2.335557161261612308e-02
4.008880000000000443e+00 2.370619280382391808e-02
4.009120000000000239e+00 2.407262144020423655e-02
4.009360000000000035e+00 2.461033436460022261e-02
4.009610000000000340e+00 2.520277054187754912e-02
4.009850000000000136e+00 2.605324360531801470e-02
4.010100000000000442e+00 2.691938917630914280e-02
4.010340000000000238e+00 2.743105303804788467e-02
4.010589999999999655e+00 2.795675255881964819e-02
4.010830000000000339e+00 2.792214127941878773e-02
4.011079999999999757e+00 2.788608786337641587e-02
4.011320000000000441e+00 2.823885810224665074e-02
4.011569999999999858e+00 2.861952318693194997e-02
4.011809999999999654e+00 3.025210937094801808e-02
4.012050000000000338e+00 3.198990998518819184e-02
4.012299999999999756e+00 3.248314187525264130e-02
4.012540000000000440e+00 3.272153784077150990e-02
4.012789999999999857e+00 3.267004656287299247e-02
4.013029999999999653e+00 3.254865803800718882e-02
4.013279999999999959e+00 3.308288650674952314e-02
4.013519999999999754e+00 3.379956332923427648e-02
4.013770000000000060e+00 3.429130080360533184e-02
4.014009999999999856e+00 3.466519616995669684e-02
4.014260000000000161e+00 3.487826425570003663e-02
4.014499999999999957e+00 3.499954923415818375e-02
4.014750000000000263e+00 3.487124145269607928e-02
4.014990000000000059e+00 3.460276168518801321e-02
4.015229999999999855e+00 3.433578929153387194e-02
4.015480000000000160e+00 3.405889377486556041e-02
4.015719999999999956e+00 3.412560746072794415e-02
4.015970000000000262e+00 3.451271630084799813e-02
4.016210000000000058e+00 3.470788482493291499e-02
4.016460000000000363e+00 3.470938185902350259e-02
4.016700000000000159e+00 3.499639000646709991e-02
4.016949999999999577e+00 3.568700623634157854e-02
4.017190000000000261e+00 3.625000581239448683e-02
4.017439999999999678e+00 3.667124702977843376e-02
4.017680000000000362e+00 3.718440447405406413e-02
4.017929999999999779e+00 3.793724897068512930e-02
4.018169999999999575e+00 3.874102215199249494e-02
4.018410000000000259e+00 3.973692971555640996e-02
4.018659999999999677e+00 4.056477943619287568e-02
4.018900000000000361e+00 4.072802213314732217e-02
4.019149999999999778e+00 4.066246818194749896e-02
4.019389999999999574e+00 3.968571848908667571e-02
4.019639999999999880e+00 3.851187366629400116e-02
4.019879999999999676e+00 3.656771845122192693e-02
4.020129999999999981e+00 3.462591808376518782e-02
4.020369999999999777e+00 3.339628842529465680e-02
4.020620000000000083e+00 3.216562793999471620e-02
4.020859999999999879e+00 3.163651561592435713e-02
4.021110000000000184e+00 3.114604985056049213e-02
4.021349999999999980e+00 3.289292148716155273e-02
4.021589999999999776e+00 3.463979312376260639e-02
4.021840000000000082e+00 3.598969071777820272e-02
4.022079999999999878e+00 3.725802887988347023e-02
4.022330000000000183e+00 4.039168479832405678e-02
4.022569999999999979e+00 4.359504466823291291e-02
4.022820000000000285e+00 4.755728504645571203e-02
4.023060000000000080e+00 5.146203614673970639e-02
4.023310000000000386e+00 5.568468857530295413e-02
4.023550000000000182e+00 5.977275073751440321e-02
4.023799999999999599e+00 6.399929456504023506e-02
4.024040000000000283e+00 6.804762168596982519e-02
4.024280000000000079e+00 7.162429683921128776e-02
4.024530000000000385e+00 7.515416560925985978e-02
4.024770000000000181e+00 7.459015586086843730e-02
4.025019999999999598e+00 7.197468295203855726e-02
4.025260000000000282e+00 6.779086156307113920e-02
4.025509999999999700e+00 6.238710965994660740e-02
4.025750000000000384e+00 5.700561200727525396e-02
4.025999999999999801e+00 5.125362765864523856e-02
4.026239999999999597e+00 4.754550857091816712e-02
4.026489999999999903e+00 4.532503879998109331e-02
4.026729999999999698e+00 4.495789594465830763e-02
4.026980000000000004e+00 4.648850637127729252e-02
4.027219999999999800e+00 4.968866798705704607e-02
4.027459999999999596e+00 5.504743738176963441e-02
4.027709999999999901e+00 6.127631610686830321e-02
4.027949999999999697e+00 6.825215368241115133e-02
4.028200000000000003e+00 7.387168494194533419e-02
4.028439999999999799e+00 7.620818106619481336e-02
4.028690000000000104e+00 7.666964012516735982e-02
4.028929999999999900e+00 7.264358440831342190e-02
4.029180000000000206e+00 6.788339102579352136e-02
4.029420000000000002e+00 6.172003212321265642e-02
4.029670000000000307e+00 5.531152653217356191e-02
4.029910000000000103e+00 4.920116732276696991e-02
4.030160000000000409e+00 4.341558075133034739e-02
4.030400000000000205e+00 4.061591261921754931e-02
4.030640000000000001e+00 3.794859278322611218e-02
4.030890000000000306e+00 3.659298285229225373e-02
4.031130000000000102e+00 3.530459665361994348e-02
4.031380000000000408e+00 3.426147073797745912e-02
4.031620000000000203e+00 3.326006985896275830e-02
4.031869999999999621e+00 3.396864209213459884e-02
4.032110000000000305e+00 3.465156635629153964e-02
4.032359999999999722e+00 3.577308163945657621e-02
4.032600000000000406e+00 3.686820272910208002e-02
4.032849999999999824e+00 3.799809086407537895e-02
4.033089999999999620e+00 3.908177721680231725e-02
4.033339999999999925e+00 4.006096956050426289e-02
4.033579999999999721e+00 4.097929944133485436e-02
4.033820000000000405e+00 4.171779872578178228e-02
4.034069999999999823e+00 4.244548375134268164e-02
4.034309999999999619e+00 4.272961756957460028e-02
4.034559999999999924e+00 4.289905393358391106e-02
4.034799999999999720e+00 4.235771338284338022e-02
4.035050000000000026e+00 4.152028553025662039e-02
4.035289999999999822e+00 4.069630624344309361e-02
4.035540000000000127e+00 3.982831657937221936e-02
4.035779999999999923e+00 3.978298461365915167e-02
4.036030000000000229e+00 4.020079474048914719e-02
4.036270000000000024e+00 4.090954939392121154e-02
4.036509999999999820e+00 4.182917003428172908e-02
4.036760000000000126e+00 4.289981144691143444e-02
4.036999999999999922e+00 4.402496992118781760e-02
4.037250000000000227e+00 4.560884477458237996e-02
4.037490000000000023e+00 4.755221803574835593e-02
4.037740000000000329e+00 4.934752097541313803e-02
4.037980000000000125e+00 5.079116142039847431e-02
4.038230000000000430e+00 5.143238917092124440e-02
4.038470000000000226e+00 5.078918030995188682e-02
4.038719999999999644e+00 4.991372887159784694e-02
4.038960000000000328e+00 4.871275835936622611e-02
4.039209999999999745e+00 4.750995457583683662e-02
4.039450000000000429e+00 4.645807839365132669e-02
4.039690000000000225e+00 4.568117751051906095e-02
4.039939999999999642e+00 4.579575175936471954e-02
4.040180000000000327e+00 4.576682066995028941e-02
4.040429999999999744e+00 4.512638204732063313e-02
4.040670000000000428e+00 4.455457733702077733e-02
4.040919999999999845e+00 4.421965268772920510e-02
4.041159999999999641e+00 4.392536347524021723e-02
4.041409999999999947e+00 4.386952131415679246e-02
4.041649999999999743e+00 4.383385959213489252e-02
4.041900000000000048e+00 4.410792097221431091e-02
4.042139999999999844e+00 4.437387108311407341e-02
4.042390000000000150e+00 4.490250264538043351e-02
4.042629999999999946e+00 4.540998894515509143e-02
4.042869999999999742e+00 4.535438470281105694e-02
4.043120000000000047e+00 4.527623766361272423e-02
4.043359999999999843e+00 4.470349687896755381e-02
4.043610000000000149e+00 4.406282765729558487e-02
4.043849999999999945e+00 4.384958498871310839e-02
4.044100000000000250e+00 4.368633946506102206e-02
4.044340000000000046e+00 4.421190228665628635e-02
4.044590000000000352e+00 4.490321403299270264e-02
4.044830000000000148e+00 4.538944839666417264e-02
4.045079999999999565e+00 4.584582249360000944e-02
4.045320000000000249e+00 4.659409128040128273e-02
4.045569999999999666e+00 4.748606882364225790e-02
4.045810000000000350e+00 4.839800255955626490e-02
4.046050000000000146e+00 4.933416027533273074e-02
4.046299999999999564e+00 4.989206314548869786e-02
4.046540000000000248e+00 5.018792201140863385e-02
4.046789999999999665e+00 5.129183888328043422e-02
4.047030000000000349e+00 5.289934151838861232e-02
4.047279999999999767e+00 5.448442468997857085e-02
4.047519999999999563e+00 5.593276042896627720e-02
4.047769999999999868e+00 5.737730467342749135e-02
4.048009999999999664e+00 5.870150076661492800e-02
4.048259999999999970e+00 5.969142640963817636e-02
4.048499999999999766e+00 6.018994344817028136e-02
4.048739999999999561e+00 6.131496053684065001e-02
4.048989999999999867e+00 6.352932501222567641e-02
4.049229999999999663e+00 6.555223269760457327e-02
4.049479999999999968e+00 6.745139432062935425e-02
4.049719999999999764e+00 6.945112433872260849e-02
4.049970000000000070e+00 7.197364351838921037e-02
4.050209999999999866e+00 7.475676743383943834e-02
4.050460000000000171e+00 7.878555954305234421e-02
4.050699999999999967e+00 8.303664327692920899e-02
4.050950000000000273e+00 8.901382618487625742e-02
4.051190000000000069e+00 9.492414358936494823e-02
4.051440000000000374e+00 1.020225622587592473e-01
4.051680000000000170e+00 1.086965953516070837e-01
4.051919999999999966e+00 1.142897831015573379e-01
4.052170000000000272e+00 1.199260799884359768e-01
4.052410000000000068e+00 1.228058341257397407e-01
4.052660000000000373e+00 1.257420880035383104e-01
4.052900000000000169e+00 1.260822415232566995e-01
4.053149999999999586e+00 1.264365681062961377e-01
4.053390000000000271e+00 1.285135409415105179e-01
4.053639999999999688e+00 1.307139764910013879e-01
4.053880000000000372e+00 1.340417478694898024e-01
4.054129999999999789e+00 1.375961865953081453e-01
4.054369999999999585e+00 1.393855752796923086e-01
